queryItem	queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
CDC45	10	9606.ENSP00000405726	9606	Homo sapiens	CDC45	Cell division control protein 45 homolog; Required for initiation of chromosomal DNA replication; Belongs to the CDC45 family.
CEP78	11	9606.ENSP00000365782	9606	Homo sapiens	CEP78	Centrosomal protein of 78 kDa; May be required for efficient PLK4 centrosomal localization and PLK4-induced overduplication of centrioles. May play a role in cilium biogenesis.
CHD7	12	9606.ENSP00000392028	9606	Homo sapiens	CHD7	Chromodomain-helicase-DNA-binding protein 7; Probable transcription regulator. Maybe involved in the in 45S precursor rRNA production.
COL14A1	14	9606.ENSP00000297848	9606	Homo sapiens	COL14A1	Collagen alpha-1(XIV) chain; Plays an adhesive role by integrating collagen bundles. It is probably associated with the surface of interstitial collagen fibrils via COL1. The COL2 domain may then serve as a rigid arm which sticks out from the fibril and protrudes the large N-terminal globular domain into the extracellular space, where it might interact with other matrix molecules or cell surface receptors (By similarity).
CSTF2T	15	9606.ENSP00000332444	9606	Homo sapiens	CSTF2T	Cleavage stimulation factor subunit 2 tau variant; May play a significant role in AAUAAA-independent mRNA polyadenylation in germ cells. Directly involved in the binding to pre- mRNAs (By similarity).
DCP1A	16	9606.ENSP00000476386	9606	Homo sapiens	DCP1A	mRNA-decapping enzyme 1A; Necessary for the degradation of mRNAs, both in normal mRNA turnover and in nonsense-mediated mRNA decay. Removes the 7-methyl guanine cap structure from mRNA molecules, yielding a 5'-phosphorylated mRNA fragment and 7m-GDP. Contributes to the transactivation of target genes after stimulation by TGFB1; Belongs to the DCP1 family.
EIF3G	17	9606.ENSP00000253108	9606	Homo sapiens	EIF3G	Eukaryotic translation initiation factor 3 subunit G; RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF- 2:GTP:methionyl-tRNAi and eIF-5 to form the 43S pre-initiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termi [...] 
ELP6	18	9606.ENSP00000296149	9606	Homo sapiens	ELP6	Elongator complex protein 6; Component of the RNA polymerase II elongator complex, a multiprotein complex associated with the RNA polymerase II (Pol II) holoenzyme, and which is involved in transcriptional elongation. The elongator complex catalyzes formation of carboxymethyluridine in the wobble base at position 34 in tRNAs. Involved in cell migration (By similarity). Belongs to the ELP6 family.
FANCB	19	9606.ENSP00000498215	9606	Homo sapiens	FANCB	Fanconi anemia group B protein; DNA repair protein required for FANCD2 ubiquitination.
FANCI	20	9606.ENSP00000310842	9606	Homo sapiens	FANCI	Fanconi anemia group I protein; Plays an essential role in the repair of DNA double-strand breaks by homologous recombination and in the repair of interstrand DNA cross-links (ICLs) by promoting FANCD2 monoubiquitination by FANCL and participating in recruitment to DNA repair sites. Required for maintenance of chromosomal stability. Specifically binds branched DNA: binds both single-stranded DNA (ssDNA) and double-stranded DNA (dsDNA). Participates in S phase and G2 phase checkpoint activation upon DNA damage.
FRG1	21	9606.ENSP00000226798	9606	Homo sapiens	FRG1	Protein FRG1; Binds to mRNA in a sequence-independent manner. May play a role in regulation of pre-mRNA splicing or in the assembly of rRNA into ribosomal subunits. May be involved in mRNA transport. May be involved in epigenetic regulation of muscle differentiation through regulation of activity of the histone-lysine N-methyltransferase KMT5B. Belongs to the FRG1 family.
FTSJ3	22	9606.ENSP00000396673	9606	Homo sapiens	FTSJ3	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3; RNA 2'-O-methyltransferase involved in the processing of the 34S pre-rRNA to 18S rRNA and in 40S ribosomal subunit formation.
GCFC2	23	9606.ENSP00000318690	9606	Homo sapiens	GCFC2	GC-rich sequence DNA-binding factor 2; Factor that represses transcription. It binds to the GC-rich sequences (5'-GCGGGGC-3') present in the epidermal growth factor receptor, beta-actin, and calcium-dependent protease promoters. Involved in pre-mRNA splicing through regulating spliceosome C complex formation. May play a role during late-stage splicing events and turnover of excised inrons; Belongs to the GCF family.
GIGYF2	24	9606.ENSP00000387170	9606	Homo sapiens	GIGYF2	GRB10-interacting GYF protein 2; Key component of the 4EHP-GYF2 complex, a multiprotein complex that acts as a repressor of translation initiation. In 4EHP-GYF2 the complex, acts as a factor that bridges EIF4E2 to ZFP36/TTP, linking translation repression with mRNA decay (By similarity). May act cooperatively with GRB10 to regulate tyrosine kinase receptor signaling, including IGF1 and insulin receptors ; Belongs to the GIGYF family.
GPHN	25	9606.ENSP00000417901	9606	Homo sapiens	GPHN	Molybdopterin molybdenumtransferase; Microtubule-associated protein involved in membrane protein- cytoskeleton interactions. It is thought to anchor the inhibitory glycine receptor (GLYR) to subsynaptic microtubules. Catalyzes two steps in the biosynthesis of the molybdenum cofactor. In the first step, molybdopterin is adenylated. Subsequently, molybdate is inserted into adenylated molybdopterin and AMP is released. In the C-terminal section; belongs to the MoeA family.
GTF3C5	26	9606.ENSP00000361180	9606	Homo sapiens	GTF3C5	General transcription factor 3C polypeptide 5; Involved in RNA polymerase III-mediated transcription. Integral, tightly associated component of the DNA-binding TFIIIC2 subcomplex that directly binds tRNA and virus-associated RNA promoters.
H2AC18	27	9606.ENSP00000358155	9606	Homo sapiens	H2AC18	Histone H2A type 2-A; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
H2AC6	28	9606.ENSP00000367022	9606	Homo sapiens	H2AC6	Histone H2A type 1-C; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
H2BC13	29	9606.ENSP00000366618	9606	Homo sapiens	H2BC13	Histone H2B type 1-L; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
H3-7	30	9606.ENSP00000329466	9606	Homo sapiens	SIRT7	NAD-dependent protein deacetylase sirtuin-7; NAD-dependent protein-lysine deacylase that can act both as a deacetylase or deacylase (desuccinylase, depropionylase and deglutarylase), depending on the context. Specifically mediates deacetylation of histone H3 at 'Lys-18' (H3K18Ac). In contrast to other histone deacetylases, displays strong preference for a specific histone mark, H3K18Ac, directly linked to control of gene expression. H3K18Ac is mainly present around the transcription start site of genes and has been linked to activation of nuclear hormone receptors; SIRT7 thereby acts a [...] 
H3C1	31	9606.ENSP00000480826	9606	Homo sapiens	H3C1	H3 clustered histone 1.
H4C1	32	9606.ENSP00000479106	9606	Homo sapiens	H4C1	H4 clustered histone 1.
HAUS5	33	9606.ENSP00000439056	9606	Homo sapiens	HAUS5	HAUS augmin-like complex subunit 5; Contributes to mitotic spindle assembly, maintenance of centrosome integrity and completion of cytokinesis as part of the HAUS augmin-like complex.
HOOK1	34	9606.ENSP00000360252	9606	Homo sapiens	HOOK1	Protein Hook homolog 1; Required for spermatid differentiation. Probably involved in the positioning of the microtubules of the manchette and the flagellum in relation to the membrane skeleton (By similarity). Component of the FTS/Hook/FHIP complex (FHF complex). The FHF complex may function to promote vesicle trafficking and/or fusion via the homotypic vesicular protein sorting complex (the HOPS complex).
ISL1	35	9606.ENSP00000230658	9606	Homo sapiens	ISL1	Insulin gene enhancer protein ISL-1; DNA-binding transcriptional activator. Recognizes and binds to the consensus octamer binding site 5'-ATAATTAA-3' in promoter of target genes. Plays a fundamental role in the gene regulatory network essential for retinal ganglion cell (RGC) differentiation. Cooperates with the transcription factor POU4F2 to achieve maximal levels of expression of RGC target genes and RGC fate specification in the developing retina. Involved in the specification of motor neurons in cooperation with LHX3 and LDB1. Binds to insulin gene enhancer sequences. Essential for [...] 
KHDRBS1	36	9606.ENSP00000313829	9606	Homo sapiens	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1; Recruited and tyrosine phosphorylated by several receptor systems, for example the T-cell, leptin and insulin receptors. Once phosphorylated, functions as an adapter protein in signal transduction cascades by binding to SH2 and SH3 domain-containing proteins. Role in G2-M progression in the cell cycle. Represses CBP-dependent transcriptional activation apparently by competing with other nuclear factors for binding to CBP. Also acts as a putative regulator of mRNA stability and/or translation rates and mediates [...] 
KNTC1	37	9606.ENSP00000328236	9606	Homo sapiens	KNTC1	Kinetochore-associated protein 1; Essential component of the mitotic checkpoint, which prevents cells from prematurely exiting mitosis. Required for the assembly of the dynein-dynactin and MAD1-MAD2 complexes onto kinetochores. Its function related to the spindle assembly machinery is proposed to depend on its association in the mitotic RZZ complex.
LARP1B	38	9606.ENSP00000321997	9606	Homo sapiens	LARP1B	La ribonucleoprotein 1B; Belongs to the LARP family.
LRCH3	39	9606.ENSP00000399751	9606	Homo sapiens	LRCH3	DISP complex protein LRCH3; As part of the DISP complex, may regulate the association of septins with actin and thereby regulate the actin cytoskeleton.
MACROH2A1	40	9606.ENSP00000423563	9606	Homo sapiens	MACROH2A1	Core histone macro-H2A.1; Variant histone H2A which replaces conventional H2A in a subset of nucleosomes where it represses transcription. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling. Involved in stable X chromosome inactivation [...] 
MAGED2	41	9606.ENSP00000364193	9606	Homo sapiens	MAGED2	Melanoma-associated antigen D2; Regulates the expression, localization to the plasma membrane and function of the sodium chloride cotransporters SLC12A1 and SLC12A3, two key components of salt reabsorption in the distal renal tubule.
MCRIP2	42	9606.ENSP00000305138	9606	Homo sapiens	MCRIP2	MAPK regulated corepressor interacting protein 2; Belongs to the MCRIP family.
MPG	43	9606.ENSP00000219431	9606	Homo sapiens	MPG	DNA-3-methyladenine glycosylase; Hydrolysis of the deoxyribose N-glycosidic bond to excise 3- methyladenine, and 7-methylguanine from the damaged DNA polymer formed by alkylation lesions.
MVB12A	44	9606.ENSP00000324810	9606	Homo sapiens	MVB12A	Multivesicular body subunit 12A; Component of the ESCRT-I complex, a regulator of vesicular trafficking process. Required for the sorting of endocytic ubiquitinated cargos into multivesicular bodies. May be involved in the ligand-mediated internalization and down-regulation of EGF receptor.
N4BP2L2	45	9606.ENSP00000382328	9606	Homo sapiens	N4BP2L2	NEDD4 binding protein 2 like 2.
NCAPG2	46	9606.ENSP00000387007	9606	Homo sapiens	NCAPG2	Condensin-2 complex subunit G2; Regulatory subunit of the condensin-2 complex, a complex which establishes mitotic chromosome architecture and is involved in physical rigidity of the chromatid axis.
NCOA1	47	9606.ENSP00000385216	9606	Homo sapiens	NCOA1	Nuclear receptor coactivator 1; Nuclear receptor coactivator that directly binds nuclear receptors and stimulates the transcriptional activities in a hormone- dependent fashion. Involved in the coactivation of different nuclear receptors, such as for steroids (PGR, GR and ER), retinoids (RXRs), thyroid hormone (TRs) and prostanoids (PPARs). Also involved in coactivation mediated by STAT3, STAT5A, STAT5B and STAT6 transcription factors. Displays histone acetyltransferase activity toward H3 and H4; the relevance of such activity remains however unclear. Plays a central role in creating m [...] 
NCOA2	48	9606.ENSP00000399968	9606	Homo sapiens	NCOA2	Nuclear receptor coactivator 2; Transcriptional coactivator for steroid receptors and nuclear receptors. Coactivator of the steroid binding domain (AF-2) but not of the modulating N-terminal domain (AF-1). Required with NCOA1 to control energy balance between white and brown adipose tissues. Critical regulator of glucose metabolism regulation, acts as RORA coactivator to specifically modulate G6PC expression. Involved in the positive regulation of the transcriptional activity of the glucocorticoid receptor NR3C1 by sumoylation enhancer RWDD3. Positively regulates the circadian clock by [...] 
NDUFB10	49	9606.ENSP00000268668	9606	Homo sapiens	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
OTUD4	50	9606.ENSP00000409279	9606	Homo sapiens	OTUD4	OTU domain-containing protein 4; Deubiquitinase which hydrolyzes the isopeptide bond between the ubiquitin C-terminus and the lysine epsilon-amino group of the target protein. May negatively regulate inflammatory and pathogen recognition signaling in innate immune response. Upon phosphorylation at Ser-202 and Ser-204 residues, via IL-1 receptor and Toll-like receptor signaling pathway, specifically deubiquitinates 'Lys-63'-polyubiquitinated MYD88 adapter protein triggering down-regulation of NF-kappa-B-dependent transcription of inflammatory mediators. Independently of the catalytic ac [...] 
PLEKHG4	51	9606.ENSP00000353646	9606	Homo sapiens	PLEKHG4	Puratrophin-1; Possible role in intracellular signaling and cytoskeleton dynamics at the Golgi.
POLE	52	9606.ENSP00000322570	9606	Homo sapiens	POLE	DNA polymerase epsilon catalytic subunit A; Catalytic component of the DNA polymerase epsilon complex. Participates in chromosomal DNA replication (By similarity). Required during synthesis of the leading DNA strands at the replication fork, binds at/or near replication origins and moves along DNA with the replication fork (By similarity). Has 3'-5' proofreading exonuclease activity that corrects errors arising during DNA replication (By similarity). Involved in DNA synthesis during DNA repair. Along with DNA polymerase POLD1 and DNA polymerase POLK, has a role in excision repair (NER) [...] 
POLR3A	53	9606.ENSP00000361446	9606	Homo sapiens	POLR3A	DNA-directed RNA polymerase III subunit RPC1; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Largest and catalytic core component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs. Forms the polymerase active center together with the second largest subunit. A single- stranded DNA template strand of the promoter is positioned within the central active site cleft of Pol III. A bridging helix emanates from RPC1 and crosses the cleft near the catalytic site and is thought to pro [...] 
PPIL3	54	9606.ENSP00000286175	9606	Homo sapiens	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. May be involved in pre-mRNA splicing; Belongs to the cyclophilin-type PPIase family. PPIL3 subfamily.
PSPC1	55	9606.ENSP00000343966	9606	Homo sapiens	PSPC1	Paraspeckle component 1; Regulates, cooperatively with NONO and SFPQ, androgen receptor-mediated gene transcription activity in Sertoli cell line (By similarity). Binds to poly(A), poly(G) and poly(U) RNA homopolymers. Regulates the circadian clock by repressing the transcriptional activator activity of the CLOCK-ARNTL/BMAL1 heterodimer (By similarity). Together with NONO, required for the formation of nuclear paraspeckles. Plays a role in the regulation of DNA virus-mediated innate immune response by assembling into the HDP-RNP complex, a complex that serves as a platform for IRF3 pho [...] 
RAI1	56	9606.ENSP00000323074	9606	Homo sapiens	RAI1	Retinoic acid-induced protein 1; Transcriptional regulator of the circadian clock components: CLOCK, ARNTL/BMAL1, ARNTL2/BMAL2, PER1/3, CRY1/2, NR1D1/2 and RORA/C. Positively regulates the transcriptional activity of CLOCK a core component of the circadian clock. Regulates transcription through chromatin remodeling by interacting with other proteins in chromatin as well as proteins in the basic transcriptional machinery. May be important for embryonic and postnatal development. May be involved in neuronal differentiation.
RBM6	57	9606.ENSP00000266022	9606	Homo sapiens	RBM6	RNA-binding protein 6; Specifically binds poly(G) RNA homopolymers in vitro.
RNPS1	58	9606.ENSP00000457723	9606	Homo sapiens	RNPS1	RNA-binding protein with serine-rich domain 1; Part of pre- and post-splicing multiprotein mRNP complexes. Auxiliary component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junction on mRNAs. The EJC is a dynamic structure consisting of core proteins and several peripheral nuclear and cytoplasmic associated factors that join the complex only transiently either during EJC assembly or during subsequent mRNA metabolism. Component of the ASAP and PSAP complexes which bind RNA in a sequence-independent manner and are proposed to be recruited to the E [...] 
RPTOR	59	9606.ENSP00000307272	9606	Homo sapiens	RPTOR	Regulatory-associated protein of mTOR; Involved in the control of the mammalian target of rapamycin complex 1 (mTORC1) activity which regulates cell growth and survival, and autophagy in response to nutrient and hormonal signals; functions as a scaffold for recruiting mTORC1 substrates. mTORC1 is activated in response to growth factors or amino acids. Growth factor-stimulated mTORC1 activation involves a AKT1-mediated phosphorylation of TSC1- TSC2, which leads to the activation of the RHEB GTPase that potently activates the protein kinase activity of mTORC1. Amino acid-signaling to mTO [...] 
RYR2	60	9606.ENSP00000355533	9606	Homo sapiens	RYR2	Ryanodine receptor 2; Calcium channel that mediates the release of Ca(2+) from the sarcoplasmic reticulum into the cytoplasm and thereby plays a key role in triggering cardiac muscle contraction. Aberrant channel activation can lead to cardiac arrhythmia. In cardiac myocytes, calcium release is triggered by increased Ca(2+) levels due to activation of the L-type calcium channel CACNA1C. The calcium channel activity is modulated by formation of heterotetramers with RYR3. Required for cellular calcium ion homeostasis. Required for embryonic heart development. Belongs to the ryanodine rec [...] 
SART1	61	9606.ENSP00000310448	9606	Homo sapiens	SART1	U4/U6.U5 tri-snRNP-associated protein 1; Plays a role in mRNA splicing as a component of the U4/U6-U5 tri-snRNP, one of the building blocks of the spliceosome. May also bind to DNA; Belongs to the SNU66/SART1 family.
SDF2L1	62	9606.ENSP00000248958	9606	Homo sapiens	SDF2L1	Stromal cell derived factor 2 like 1.
SMARCA1	63	9606.ENSP00000360162	9606	Homo sapiens	SMARCA1	Probable global transcription activator SNF2L1; Energy-transducing component of NURF (nucleosome-remodeling factor) and CERF (CECR2-containing-remodeling factor) complexes. Both complexes facilitate the perturbation of chromatin structure in an ATP- dependent manner. Potentiates neurite outgrowth. May be involved in brain development by regulating En-1 and En-2 expression. May be involved in the development of luteal cells. Belongs to the SNF2/RAD54 helicase family. ISWI subfamily.
SMARCA5	64	9606.ENSP00000283131	9606	Homo sapiens	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5; Helicase that possesses intrinsic ATP-dependent nucleosome- remodeling activity. Complexes containing SMARCA5 are capable of forming ordered nucleosome arrays on chromatin; this may require intact histone H4 tails. Also required for replication of pericentric heterochromatin in S-phase specifically in conjunction with BAZ1A. Probably plays a role in repression of polI dependent transcription of the rDNA locus, through the recruitment of the SIN3/HDAC1 corepressor complex to the rDNA promoter. [...] 
STT3A	65	9606.ENSP00000376472	9606	Homo sapiens	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A; Catalytic subunit of the oligosaccharyl transferase (OST) complex that catalyzes the initial transfer of a defined glycan (Glc(3)Man(9)GlcNAc(2) in eukaryotes) from the lipid carrier dolichol- pyrophosphate to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains, the first step in protein N-glycosylation. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation [...] 
TAB2	66	9606.ENSP00000356426	9606	Homo sapiens	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2; Adapter linking MAP3K7/TAK1 and TRAF6. Promotes MAP3K7 activation in the IL1 signaling pathway. The binding of 'Lys-63'-linked polyubiquitin chains to TAB2 promotes autophosphorylation of MAP3K7 at 'Thr-187'. Involved in heart development.
TBCD	67	9606.ENSP00000347719	9606	Homo sapiens	TBCD	Tubulin-specific chaperone D; Tubulin-folding protein implicated in the first step of the tubulin folding pathway and required for tubulin complex assembly. Involved in the regulation of microtubule polymerization or depolymerization, it modulates microtubule dynamics by capturing GTP- bound beta-tubulin (TUBB). Its ability to interact with beta tubulin is regulated via its interaction with ARL2. Acts as a GTPase-activating protein (GAP) for ARL2. Induces microtubule disruption in absence of ARL2. Increases degradation of beta tubulin, when overexpressed in polarized cells. Promotes ep [...] 
TDRD3	68	9606.ENSP00000440190	9606	Homo sapiens	TDRD3	Tudor domain-containing protein 3; Scaffolding protein that specifically recognizes and binds dimethylarginine-containing proteins. In nucleus, acts as a coactivator: recognizes and binds asymmetric dimethylation on the core histone tails associated with transcriptional activation (H3R17me2a and H4R3me2a) and recruits proteins at these arginine-methylated loci. In cytoplasm, may play a role in the assembly and/or disassembly of mRNA stress granules and in the regulation of translation of target mRNAs by binding Arg/Gly-rich motifs (GAR) in dimethylarginine-containing proteins.
TELO2	69	9606.ENSP00000262319	9606	Homo sapiens	TELO2	Telomere length regulation protein TEL2 homolog; Regulator of the DNA damage response (DDR). Part of the TTT complex that is required to stabilize protein levels of the phosphatidylinositol 3-kinase-related protein kinase (PIKK) family proteins. The TTT complex is involved in the cellular resistance to DNA damage stresses, like ionizing radiation (IR), ultraviolet (UV) and mitomycin C (MMC). Together with the TTT complex and HSP90 may participate in the proper folding of newly synthesized PIKKs. Promotes assembly, stabilizes and maintains the activity of mTORC1 and mTORC2 complexes, wh [...] 
TET1	70	9606.ENSP00000362748	9606	Homo sapiens	TET1	Methylcytosine dioxygenase TET1; Dioxygenase that catalyzes the conversion of the modified genomic base 5-methylcytosine (5mC) into 5-hydroxymethylcytosine (5hmC) and plays a key role in active DNA demethylation. Also mediates subsequent conversion of 5hmC into 5-formylcytosine (5fC), and conversion of 5fC to 5-carboxylcytosine (5caC). Conversion of 5mC into 5hmC, 5fC and 5caC probably constitutes the first step in cytosine demethylation. Methylation at the C5 position of cytosine bases is an epigenetic modification of the mammalian genome which plays an important role in transcription [...] 
THOC3	71	9606.ENSP00000265097	9606	Homo sapiens	THOC3	THO complex subunit 3; Required for efficient export of polyadenylated RNA and spliced mRNA. Acts as component of the THO subcomplex of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and which specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription-independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap- dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cy [...] 
TLE4	72	9606.ENSP00000365720	9606	Homo sapiens	TLE4	Transducin-like enhancer protein 4; Transcriptional corepressor that binds to a number of transcription factors. Inhibits the transcriptional activation mediated by PAX5, and by CTNNB1 and TCF family members in Wnt signaling. The effects of full-length TLE family members may be modulated by association with dominant-negative AES. Essential for the transcriptional repressor activity of SIX3 during retina and lens development and for SIX3 transcriptional auto-repression (By similarity); Belongs to the WD repeat Groucho/TLE family.
TMPO	73	9606.ENSP00000266732	9606	Homo sapiens	TMPO	Lamina-associated polypeptide 2, isoform alpha; May be involved in the structural organization of the nucleus and in the post-mitotic nuclear assembly. Plays an important role, together with LMNA, in the nuclear anchorage of RB1.
TNPO1	74	9606.ENSP00000336712	9606	Homo sapiens	TNPO1	Transportin-1; Functions in nuclear protein import as nuclear transport receptor. Serves as receptor for nuclear localization signals (NLS) in cargo substrates. Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis  [...] 
TNRC6B	75	9606.ENSP00000401946	9606	Homo sapiens	TNRC6B	Trinucleotide repeat-containing gene 6B protein; Plays a role in RNA-mediated gene silencing by both micro- RNAs (miRNAs) and short interfering RNAs (siRNAs). Required for miRNA- dependent translational repression and siRNA-dependent endonucleolytic cleavage of complementary mRNAs by argonaute family proteins. As scaffoldng protein associates with argonaute proteins bound to partially complementary mRNAs and simultaneously can recruit CCR4-NOT and PAN deadenylase complexes.
TNRC6C	76	9606.ENSP00000336783	9606	Homo sapiens	TNRC6C	Trinucleotide repeat-containing gene 6C protein; Plays a role in RNA-mediated gene silencing by micro-RNAs (miRNAs). Required for miRNA-dependent translational repression of complementary mRNAs by argonaute family proteins. As scaffoldng protein associates with argonaute proteins bound to partially complementary mRNAs and simultaneously can recruit CCR4-NOT and PAN deadenylase complexes.
